karen_text,	thai_text,pronunciation,	confidence
အီၣ်,กิน,เอ้าะ,1.0
တၢ်ဘျုး,ขอบคุณ,ต่า-บลึ,1.0
မံၤ,ชื่อ,หมี่,1.0
ဆီၤ,ไก่,ชอ,1.0
ကိၤ,ขวด,โก,1.0
ပၢးနါၢ်,ควาย,เปอะ-หน่า,1.0
ကၢၢ်ယီၤ,คน,เก่อ-ญอ,1.0
ငုၣ်,งู,หงื้อ,1.0
လီၤဃီၤ,จาน,ลอ-คอ,1.0
ဂ့ၤခီ,ตอนเช้า,หง่อ-คอ,1.0
မုၢ်ထူၣ်,ตอนเที่ยง,มื่อ-ทู้,1.0
မုၢ်ဟါလီၤ,ตอนเย็น,มื่อ-ฮา-หล่อ,1.0
ကာ်ဆီၤ,ช้าง,เกอะ-ชอ,1.0
ပိၢ်မုၢ်,ผู้หญิง,โป่-มึ,1.0
ဖိၡာ်,เด็ก,โพ-ซะ,1.0
ခလံၢ်,เต่า,ขลิ,1.0
သုာ်,ทหาร,ศึ,1.0
ယုၣ်,หนู,หยื้อ,1.0
သ့ၢ်လါၣ်,ใบไม้,เซะ-ละ,1.0
ယါၣ်ဖိၤ,ปลา,หย้ะ-โพ,1.0
မဲၤ,ฟัน,แม,1.0
ကၢာ်သွၣ်,ม้า,เกอะ-เซ้ะ,1.0
တါၢ်အုာ်,ลิง,ต่า-อึ,1.0
ဆီၤဒံၣ်,ไข่,ชอ-ดิ้,1.0
ဒ့း,กบ,เด้ะ,1.0
မဲာ်ကလါၢ်,กระจก,แหม่ะ-กล่า,1.0
ကလိၤကလိၤ,กระดิ่ง,โกล-โกล,1.0
တၢၢ်ဃဝ့ၤ,กระโดด,เต่อะ-เคว,1.0
ပၢးဒဲၤ,กระต่าย,เปอะ-แด,1.0
ပၢးၡၢၤသါၣ်,กระเทียม,เปอะ-เซอ-ซะ,1.0
ထၢၣ်,กระเป๋า,เทอะ,1.0
ၡံး,กระโปรง,นิ,1.0
လံး,กระรอก,ลิ,1.0
ပလံၢ်,กลัว,ปลี่,1.0
ဖိာ်ဟုၤ,กอด,โผะ-ฮือ,1.0
လီၤယါ,ก่อน,เลอ-ยา,1.0
ကါလါဖါ,กะละมัง,กา-ลา-มา,1.0
အ့ၣ်,กัด,เอ้ะ,1.0
လၢၤ,กับ,เลอ,1.0
စိာ်ဝါၣ်ဃး,กา,โจะ-วะ-ฆะ,1.0
ထဲၤ,กางเกง,แท,1.0
ကဲၤထီၣ်,กำเนิด,แก-ท้อะ,1.0
ငံၣ်,กำลัง,หงี้,1.0
တၢာ်ဒီး,กุ้ง,เตอะ-ด้อ,1.0
သ့,เก่ง,เซ,1.0
ပါၢ်င့း,เก็บ,ป่ะ-เหง่ะ,1.0
ကလိၣ်နါၣ်,เกเร,หน้ะ-กโล้,1.0
အံၤသၣ်,เกลือ,อี-ซะ,1.0
ခၢ်,เก้าอี้,ข่ะ,1.0
ကဲၤထီၣ်,เกิด,แก-ท้อะ,1.0
 ပငါၣ်,แก่,ปง่า,1.0
တါၣ်သူၤ,แกง,ต้าซู,1.0
ထိၤနီၣ်ဘလၢၣ်,แก้วน้ำ,ที-น้อะ-เบลอะ,1.0
ၡိဖိၤ,แกะ,โซ-โพ,1.0
ဘိူး,ใกล้,โบะ,1.0
ယံၢ်,ไกล,หยี่,1.0
ခၢ်ယၢ်,ขยะ,ขะ-ยะ,1.0
ဆဝဲၤ,ขวา,แชว,1.0
တါၣ်ဃၢၢ်,ของ,ต้า-เหค่อ,1.0
ဒုာ်,ขัง,ดึ่,1.0
ထံၤလူၤ,ขัน,ที-ลู,1.0
နီၤ,ขับ,นอ,1.0
ခိၣ်သူၤ,ผม,โคะ-ซู,1.0
ခိၣ်,หัว,โคะ,1.0
မဲးတူၣ်ခိၣ်,คิ้ว,แหมะ-ตู้-โคะ,1.0
မဲးခလံၤ,ตา,แหมะ-คลี,1.0
ပ့ၢ်,ลิ้น,เปล่,1.0
နါၣ်,หู,หน้ะ,1.0
