thai_text,karen_text,pronunciation,confidence
ห้องน้ำ,တၢ်အ့ဖျိခီၣ်ထီၣ်ခလီ,ต่าเอาะฬูทึ่อล่ะ,1.0
ที่ผ่านมา,တၢ်လံၢ်ဂၢၢ်ခီ,ต่าแลปูกริ,1.0
ปี่,သံကူ,ซอกู่,1.0
ลงแขก,မၢ်တဲၣ်မၢ်က,มาเต๊อะมากะ,1.0
ไปดื่มน้ำ,လံၢ်နီၢ်ထီ,แลออที,1.0
มีดถางหญ้า,မံၤအံၤဖ့ၢ်ခီ,หน่อแฝ่โค,1.0
แม่,မုၢ်,ใหม่,1.0
กลอง,ထဲၣ်,เดอ,1.0
ตลอดวัน,သံနီ,ซอนี,1.0
ผักชี,ဟီၤဘ့ၣ်,ฮีอีปะ,1.0
สีเหลือง,ဘီၤ,บอ,1.0
เดี๋ยวนี้,မံၤလဲၢ်အဲၣ်,หน่อแลคื่อ,1.0
ไปงานแต่งงาน,လံၢ်အၢၣ်မၤ့ၢ်,แลเออะมี,1.0
หน้าผาก,မျက်နှာမြှေး,	แมะตุ่โข่,1.0
เสือ,ဘ့ၣ်စံဘ့ၢ်စံ,เบาะโซ่โละ,1.0
สนทนา,တၢ်ခါဂ့ၤက့ၤ,ต่าก่อก๊ะเก๊าะ,1.0
สิงหาคม,လါခူ,ลาคุ,1.0
ของเรา,တၢ်ဂၢၢ်ဧၢ်,เป๊อะต่า,1.0
ถ้วย,လဲက့ၢ်ဂါထီအိၣ်,เลคอโกไอโอ,1.0
รู้สึก,ဆိမိၣ်,โช-โม้ะ,1.0
แคน,ခံာ်,แคว,1.0
ป้า / น้า อา,မုၢ်အ့,หมื่อก่า,1.0
ไปโรงพยาบาล,လံၢ်စူၢ်ထံာ်ဆီ,แลซูต่าซี่,1.0
ต,တ,ต่าหว่าลี,1.0
ป่าไม้,ဝံၤမံၤထွၢၣ်မံၤ,เสโดหว่าป่า,1.0
วันนี้,မုၢ်ယါအ့ၤ,หมื่อยาอิ,1.0
ไปในเมือง,လံၢ်ဆူၢ်ခိၣ် / လံၢ်ဝ့ၢ်,แลซู่ไข่ / แลแวปู่,1.0
ต้นเเขน,စုၤဒုၣ်,จือ-ดึ้อ,1.0
กระเทียม,ပၢးၡၢၤသါၣ်,เปอะ-เซอ-ซะ,1.0
ความรัก,တၢ်အဲၣ်တၢ်ကွီၢ်,ต่าแอะต่ากวี,1.0
ลูกเขย,မံၤဘၣ်,หมิ่บ่า,1.0
เกิด,ကဲၤထီၣ်,แก-ท้อะ,1.0
วันจันทร์,မုၢ်ခဲၣ်,หมื่อแคะ,1.0
-ล,- ္လ,ก๊ะ-ละ-กีล๋ะ,1.0
ห่วงใย,တၢ်ဘၣ်ထီရိ,ต่าบะไทยะ,1.0
รักษา,ကဝါၣ်ကဲၤ,กว้า-แชว,1.0
สวน,တၢ်ဂီၤ / တၢ်ဆူၢ်ခလီ,ต่าไร่ / ต่าสู่หล่อ,1.0
ล้าง,သ့ဃၢၤ,เซ-เฆง่อ,1.0
หนา,ထဲၣ်,เตาะ,1.0
ตา,မဲးခလံၤ,แหมะ-คลี,1.0
สีเขียว,လါ,ลา,1.0
ฉิ่ง,သံခီ,ซอแคะ,1.0
ประเทศ,က့ၢ်,ก่อ,1.0
แมงดา,ထီၣ်မ့ၢ်,ทีหม่่า,1.0
งา,န့ၢ်စိ,หนี่โซ,1.0
ยินดีต้อนรับ,ဟူၣ်လီၤဂ့ၤဆ,คู่ลอคอเซอ,1.0
มะโรง,မုၢ်ဖ့ၢ်ကွၢ,หมื่อพะโคะ,1.0
กลับบ้าน,က့ၤလၢဟံၣ်,เก่-เลอ-ฮี้,1.0
กินข้าว,နီၢ်လံ,เอาะเม,1.0
ท้องอืด,ပူနာ,ฮีกึ่,1.0
กราบ,ဘါလီၤ,บาหล่อ,1.0
รองเท้า,ခီၣ်ဖံး,เข้าะ-ผิ,1.0
ชา,န့ၢ်မုၢ်,นอหมื่อ,1.0
ตา,မျက်လုံး,แมะคลี,1.0
หนุ่ม,ဖံစါကွါ,เพ้าะสะควา,1.0
บาง,ကူ,ปู,1.0
ขอบคุณ,တၢ်ဘျုး,ต้า-บลึ,1.0
สาว,မုၢ်လ့ၢ်,หมื่อเก่อนอ,1.0
ดาบ / กระบี่,န့,นะ,1.0
หน้าผาก,ခိၣ်,โคะ,1.0
ท้อง,ဟၢာ်ဖၢၤ,ฮึ่อ-เพอ,1.0
กลัว,ပလံၢ်,ปลี่,1.0
เมื่อคืนฝนตกหนัก,မနၤမိၣ်ခိၣ်စူၤဒိၣ်,เหม่อะ-หน่า-โม้ะ-โค้ะ-จู่-โด้ะ,1.0
ปิด,ကျၢၢ်ဘၢ,เกล้อ-เบอ,1.0
ต้นไม้,ဝ့,เส่,1.0
ตอนเที่ยงคืน,မုၢ်ဖံးမုၢ်,พะพอหมื่อ,1.0
งู,င့ၢ်,หนื่อ,1.0
หนวด,ခၣ်ဆူၣ်,คะ-ชุ,1.0
เท้า,ဃီၣ်,เคาะ-เด,1.0
ตาก,သ့ၣ်ဘီ,เซอะบี,1.0
สะโพก,ဃံၤကိၣ်,คี-โก้,1.0
รากไม้,ဝံၤဒဲၤဂ့ၤ,เส่กี้,1.0
หนัก,ဘၣ်,เคอ,1.0
คุณจะไปไหน,ရၢ်အဲၣ်လံၢ်ခလီ,เหนอซะแสจูหล่อ,1.0
ตอนกลางคืน,မုၢ်နံၤခီ,หมื่อนาคอ,1.0
ธันวาคม,လါပီၤလီ,ลาปีลอ,1.0
ฉาบ,ခ့ၣ်ဂ့ၤ,จก่อ,1.0
ท้องเสีย,ဝမ်းလျှော,ซีเพแค,1.0
ควาย,ပၢးနါၢ်,เปอะ-หน่า,1.0
เขียดตะปาด,ဒ့ၢ်ဖ့ၢ်န့ၢ်,เดะพี่หน่า,1.0
โน๊ตบุ๊ค,ခီဖံတၢၣ်,คอ-พี-เต้อะ,1.0
ปากกา,လံာ်ဘိ,เล่ะ-โบ,1.0
ปาก,ပါးစပ်,	ทะโข่,1.0
ปลา,န့ၢ်ဖိ,หนู๋าโพ,1.0
เนื้อดิบ,ဝံၤလီ,ซีโซ,1.0
ถุงมือ,ခိၣ်ဖ့ၢ်လ့ၢ်,จีฝ่อล่อ,1.0
ลาก่อน,ထံၣ်လီၤသးလၢသီနီၢ်,ที้-หล่อ-สะ-เลอ-ซอ-หนอ,1.0
ฉันมีพี่น้อง...คน,ယဒီပုၢ်ဝဲၢ်အိၢ်ခံဂၤ,เหย่อะ-ดอ-ปื้อ-แหว้-โอ้ะ ... หง่า,1.0
ขมิ้น,ဆ့ၢ်ယါ,เส่อเยอ,1.0
ปัจจุบัน,မံၤလဲၢ်အဲၣ်,หน่อแลคื่อ,1.0
ชี้แจง,နၢ်နၢ်ပဲာ်,ดีหน้าป่อ,1.0
ฉัน,ယါ,ญา,1.0
สร้อย,သံလံၤခါ,ส่อแซวะ,1.0
ตลอดคืน,သံနံၤ,ซอนา,1.0
รถยนต์,မီၢ်တီၢ်ကါ,หม่อ-ต่อ-กา,1.0
สีม่วง,လံၤ,ลี,1.0
ขอโทษ,ဝံသးစူၤ,วี-สะ-จู่,1.0
กระแต,ဗုၢ်လ့ၢ်,หยี่อแล,1.0
ฝักดาบ,န့ကဲရ့ၣ်,นะเกร้าะ,1.0
ตอนเช้า,ဂ့ၤခီ,หง่อ-คอ,1.0
แสง,ကမံၤ,เก่อปอ,1.0
เร็ว,ချ့,เคล,1.0
-,ဃ,ขะโกะ,1.0
เอว,ညီၣ်ဒ့ၤ,ย่อ-เด,1.0
บัดมือ,သီၤ,ซี่,1.0
แคนใหญ่,ခံာ်ဖၣ်ကွၢ,แควพะโคะ,1.0
ตลอดเดือน,သံလီ,ดอลา,1.0
สอง,2,คี,1.0
การดูแล,တၢ်အဲၣ်ထွဲၣ်ကွၢၣ်ထွဲၣ်,ต่าอื๊แถวกว่าแถว,1.0
ได้ยิน,နၢ်ဟူ,หน้ะ-ฮู,1.0
ผู้หญิง,ဖံခမ့ၢ,เพาะหมื่อ,1.0
ป่าดิบชื้น,က့ၢ်န့ၢ်မုၢ်,เก่อเนอหมื่อ,1.0
เลี้ยงผี,လံၢ်တၢ,หล่อต่า,1.0
เข็มขัด,ယီၢ်ဘ့ၣ်ကိး,ย่อ-เบ้ะ-เกาะ,1.0
เสื้อของผู้ชาย,ဆ့ၢ်ခိၣ်,เซเกอ,1.0
เบา,ဗီၤ,พกี,1.0
นกยูง,င့ၢ်စီဘ့ၣ်လ့ၢ်,หนื่อซอบลอ,1.0
ลื่นล้ม,လီၤဃံၢ်,หล่อ-ฆงี้,1.0
ตอนกลางคืน,မုၢ်နံၤခီ,หมื่อนาคอ,1.0
ชั่วโมง,နုၢ်ထီၣ်,หน่าที,1.0
หมวกปีกกว้าง,ခီအီၤထ့ၢ်န့ၢ်,ขื่อซี่แหล่น่า,1.0
กระเป๋า,ကၠံ,เก่อ,1.0
โหลน,လါ,ลา,1.0
ห้องส้วม,တၢ်ယါခလီ,ต่ายะหล่อ,1.0
งู,ငုၣ်,หงื้อ,1.0
ปวด,ဆါ,ชา,1.0
ตอนเช้า,နီၢ်ခီ,กอคอ,1.0
ปลาไหล,တီၢ်ဖ့ၢ်ဘ့ၣ်,ตีดูบอ,1.0
รอ,ခဲာ်,เคาะ,1.0
แหวน,ပှၢ်စံ,เป่อซิ,1.0
ไม้เอกเสียงสั้น,1,เอ๊อะซิ,1.0
สาก,န့ၢ်ဒ့ၢ်ဘူ,เน่อโตโบ,1.0
ป่าเบญจพรรณ,က့ၢ်န့ၢ်ဖၢ,เก่อเนอพา,1.0
เป่าแคน,ဇူၢ်ခံာ်,จูแคว,1.0
คราด,မံၤအံၤဂံ,หน่อก๊ะ,1.0
ตอนเย็น,မုၢ်စါက့ၤ,หมื่อซากอ,1.0
เข็มขัด,မ့ၢ်အ့ၤခ့ၢ်န့ၢ်ခ့ၢ်,หม่อะแกจู่,1.0
กางเกงขายาว,ဖ့ၢ်လီဖ့ၢ်က့ၢ်ထီဖ့ၢ်အ့ၤ,ผล่อลี่คีอ่อ,1.0
หวี,ဝံၤ,สี,1.0
ออ,ါ,สระออ,1.0
น้ำมัน,စံ,โซ,1.0
เลี้ยงควาย,လံၢ်အၢၣ်နုၢ်,หล่อเปอะนา,1.0
กา,လ့ၢ်က့ၢ်,เจ๊าะทะฆะ,1.0
เสื้อเเขนยาว,ဆ့ကၤစုဒုၣ်ထီ,เช-ก่า-จือ-ดึ-ทอ,1.0
ฤดูทำนา,မာခီၤခါ,มา'chีค่า,1.0
กระเทียม,ပှၢ်စံလၢ / ပှၢ်စံဝါ,เปอะซอสะ / เปอะเซอวา,1.0
รอคอย,အိၣ်ခိး,โอ้ะ-เขาะ,1.0
มือ,စုၤ,จือ,1.0
สีนํ้ํ้าตาล,ဃာ်,ฆย่ะ-หง่อ,1.0
เมื่อยคอ,လည်ချောင်းနာ,ข่อลอปิ้,1.0
ทราย,ဂၠံ,แมะ,1.0
หน้าผา,လဲ,เล,1.0
สมุด,လံၢ်ခဲ,ลิแกะ,1.0
น้ำซึม,ထီခိ,ทีกี้,1.0
กุ้ง,တၢာ်ဒီး,เตอะ-ด้อ,1.0
ไม้เอกเสียงยาว,2,อะซิ,1.0
รถไฟ,ကါဖာ်ထီ,กา-ผะ-ทอ,1.0
จอบ,ဖိၣ်ဂ့ၤ / ဘ့ၢ်ဂ့ၤ,โห่โจ๊ะ / บอพล๊ะ,1.0
ความร่วมมือ,တၢ်မၤစဲၤက့ၤ,ต่าม่าเส่เก๊าะ,1.0
